"SYMBOL 
","COMPANY 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
"
EMKAY,Emkay Global Financial Services Limited,SAKET AGRAWAL HUF,Other,Equity Shares,100,0,,100,14205,Sell,Equity Shares,Nil
EMKAY,Emkay Global Financial Services Limited,SAKET AGRAWAL HUF,Other,Equity Shares,200,0,,200,28410,Sell,Equity Shares,Nil
EMKAY,Emkay Global Financial Services Limited,SAKET AGRAWAL HUF,Other,Equity Shares,300,0,,300,46200,Sell,Equity Shares,Nil
EMKAY,Emkay Global Financial Services Limited,SAKET AGRAWAL,Key Managerial Personnel,Equity Shares,100,0,,100,11878,Sell,Equity Shares,Nil
EMKAY,Emkay Global Financial Services Limited,SAKET AGRAWAL,Key Managerial Personnel,Equity Shares,376,0,,376,44661,Sell,Equity Shares,Nil
EMKAY,Emkay Global Financial Services Limited,SAKET AGRAWAL,Key Managerial Personnel,Equity Shares,2000,0.01,,2000,237560,Sell,Equity Shares,Nil
EMKAY,Emkay Global Financial Services Limited,SAKET AGRAWAL,Key Managerial Personnel,Equity Shares,3000,0.12,,3000,340050,Sell,Equity Shares,Nil
EMKAY,Emkay Global Financial Services Limited,SAKET AGRAWAL HUF,Other,Equity Shares,2500,0.01,,2500,294325,Sell,Equity Shares,Nil
EMKAY,Emkay Global Financial Services Limited,SAKET AGRAWAL HUF,Other,Equity Shares,500,0,,500,61000,Sell,Equity Shares,Nil
KRISHANA,Krishana Phoschem Limited,Nirmala Realinfrastructure Pvt Ltd,Promoter Group,Equity Shares,313020,0.51,,50000,12421332,Buy,Equity Shares,363020
EDELWEISS,Edelweiss Financial Services Limited,RUJAN PANJWANI,Employees/Designated Employees,Equity Shares,7850000,0.83,,50000,4144175,Sell,Equity Shares,7800000
SHALPAINTS,Shalimar Paints Limited,HELLA INFRA MARKET PRIVATE LIMITED,-,Equity Shares,31425526,37.54,,50081,8991013,Buy,Equity Shares,31475607
AVALON,Avalon Technologies Limited,Senthur K,Employees/Designated Employees,Equity Shares,5001,0,,1000,535000,Sell,Equity Shares,4001
AVALON,Avalon Technologies Limited,Senthur K,Employees/Designated Employees,Equity Shares,4000,0,,4001,2200000,Sell,Equity Shares,Nil
BIOCON,Biocon Limited,KRISHNASAI TANNEERU,-,Equity Shares,32500,0,,6000,1530000,Sell,Equity Shares,26500
ECLERX,eClerx Services Limited,Eclerx Employee Welfare Trust,Other,Equity Shares,787242,1.61,,2721,6949140,Buy,Equity Shares,789963
ECLERX,eClerx Services Limited,Eclerx Employee Welfare Trust,Other,Equity Shares,789963,1.61,,2786,6949827,Buy,Equity Shares,792749
PIDILITIND,Pidilite Industries Limited,Gautam Suri,Employees/Designated Employees,Equity Shares,2450,0,,1050,1050,Buy,Equity Shares,3500
PIDILITIND,Pidilite Industries Limited,Sanjay Bahadur,Employees/Designated Employees,Equity Shares,14120,0,,300,300,Buy,Equity Shares,14420
KRISHANA,Krishana Phoschem Limited,EKTA JAIN,Promoter Group,Equity Shares,93495,0.15,,958,237326,Buy,Equity Shares,94453
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,Ican Investments Advisors Pvt. Ltd.,Director,Equity Shares,1806460,1.24,,500000,48242791,Sell,Equity Shares,1306460
BHARTIARTL,Bharti Airtel Limited,BHARTI AIRTEL EMPLOYEES WELFARE TRUST,Other,Equity Shares,3385413,0.06,,25500,25221305,Buy,Equity Shares,3410913
SUBEXLTD,Subex Limited,Anagha Advisors LLP,-,Equity Shares,469543,0.08,,200029,7636685,Sell,Equity Shares,269514
JSWSTEEL,JSW Steel Limited,JSW Steel Employees Welfare Trust ? OPJ ESOP Plan 2021 A/c,Other,Equity Shares,10053890,0.41,,561,472079,Sell,Equity Shares,10053329
JSWSTEEL,JSW Steel Limited,JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,10053329,0.41,,17,14302,Sell,Equity Shares,10053312
JSWSTEEL,JSW Steel Limited,JSW Steel Employees Welfare Trust ? ESOP Plan 2016 A/c,Other,Equity Shares,10089292,0.41,,2025,1750235,Sell,Equity Shares,10087267
JSWSTEEL,JSW Steel Limited,JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,10058955,0.41,,1185,1016768,Sell,Equity Shares,10057770
JSWSTEEL,JSW Steel Limited,JSW Steel Employees Welfare Trust ? OPJ ESOP Plan 2021 A/c,Other,Equity Shares,10087034,0.41,,4591,4591,Sell,Equity Shares,10082443
JSWSTEEL,JSW Steel Limited,JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,10082443,0.41,,13104,13104,Sell,Equity Shares,10069339
JSWSTEEL,JSW Steel Limited,JSW Steel Employees Welfare Trust ? OPJ ESOP Plan 2021 A/c,Other,Equity Shares,10069339,0.41,,2,1709,Sell,Equity Shares,10069337
JSWSTEEL,JSW Steel Limited,JSW Steel Employees Welfare Trust ? ESOP Plan 2016 A/c,Other,Equity Shares,10069337,0.41,,9400,8064742,Sell,Equity Shares,10059937
JSWSTEEL,JSW Steel Limited,JSW Steel Employees Welfare Trust ? OPJ ESOP Plan 2021 A/c,Other,Equity Shares,10059937,0.41,,982,842711,Sell,Equity Shares,10058955
JSWSTEEL,JSW Steel Limited,JSW Steel Employees Welfare Trust ? ESOP Plan 2016 A/c,Other,Equity Shares,10057770,0.41,,3880,3262984,Sell,Equity Shares,10053890
JSWSTEEL,JSW Steel Limited,JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,10087267,0.41,,233,201392,Sell,Equity Shares,10087034
VASCONEQ,Vascon Engineers Limited,RATHIKA KARIAPPA,-,Equity Shares,61777,0.03,,13578,1002247,Sell,Equity Shares,48199
